"PVWatts Hourly PV Performance Data"
"Requested Location","5230 Dexter Ann Arbor Rd"
"Location","Lat, Lng: 42.29, -83.82"
"Latitude (DD)","42.29"
"Longitude (DD)","-83.82"
"Elevation (m)","268.2799987793"
"DC System Size (kW)","8.55"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","225"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","6","0","0","0","-6","3.6","0.87","0","-6","0","0"
"1","6","1","0","0","-6","3.5","0.87","0","-6","0","0"
"1","6","2","0","0","-6","3.5","0.87","0","-6","0","0"
"1","6","3","0","0","-6","3.4","0.87","0","-6","0","0"
"1","6","4","0","0","-6","3.3","0.87","0","-6","0","0"
"1","6","5","0","0","-6","3.1","0.87","0","-6","0","0"
"1","6","6","0","0","-6","2.9","0.87","0","-6","0","0"
"1","6","7","0","0","-6","2.7","0.87","0","-6","0","0"
"1","6","8","287","21","-5","3","0.87","32.447","-4.7","166.225","126.447"
"1","6","9","643","52","-4","3.9","0.87","218.195","-1.006","1476.216","1390.02"
"1","6","10","0","98","-3","4.6","0.87","118.436","-1.504","925.234","858.561"
"1","6","11","0","64","-2","4.8","0.87","76.878","-1.06","589.143","534.379"
"1","6","12","0","57","-2","4.7","0.87","68.453","-1.152","521.536","469.167"
"1","6","13","0","118","-2","4.6","0.87","145.184","-0.168","1131.043","1057.077"
"1","6","14","0","60","-2","4.3","0.87","72.059","-1.057","552.183","498.728"
"1","6","15","0","45","-2","3.5","0.87","54.01","-1.206","409.483","361.085"
"1","6","16","0","15","-3","2.4","0.87","17.968","-2.686","124.714","86.406"
"1","6","17","0","0","-4","1.8","0.87","0","-4","0","0"
"1","6","18","0","0","-5","1.6","0.87","0","-5","0","0"
"1","6","19","0","0","-6","1.6","0.87","0","-6","0","0"
"1","6","20","0","0","-6","1.5","0.87","0","-6","0","0"
"1","6","21","0","0","-6","1.3","0.87","0","-6","0","0"
"1","6","22","0","0","-6","1.3","0.87","0","-6","0","0"
"1","6","23","0","0","-6","1.2","0.87","0","-6","0","0"
"1","7","0","0","0","-6","1.2","0.87","0","-6","0","0"
"1","7","1","0","0","-6","1.5","0.87","0","-6","0","0"
"1","7","2","0","0","-6","1.5","0.87","0","-6","0","0"
"1","7","3","0","0","-6","1.2","0.87","0","-6","0","0"
"1","7","4","0","0","-6","0.8","0.87","0","-6","0","0"
"1","7","5","0","0","-6","0.6","0.87","0","-6","0","0"
"1","7","6","0","0","-6","0.4","0.87","0","-6","0","0"
"1","7","7","0","0","-6","0.3","0.87","0","-6","0","0"
"1","7","8","0","5","-5","0.6","0.87","5.981","-4.86","28.391","0"
"1","7","9","0","19","-4","1.2","0.87","22.762","-3.48","167.442","127.621"
"1","7","10","0","74","-4","1.8","0.87","89.048","-2.218","691.053","632.678"
"1","7","11","0","19","-4","2.1","0.87","22.778","-3.572","168.442","128.585"
"1","7","12","0","40","-4","2.3","0.87","48.005","-3.134","363.815","317.035"
"1","7","13","0","89","-4","2.3","0.87","107.709","-2.052","836.955","773.41"
"1","7","14","0","24","-5","2.2","0.87","28.773","-4.47","215.985","174.444"
"1","7","15","0","17","-5","1.9","0.87","20.365","-4.602","150.833","111.6"
"1","7","16","0","11","-5","1.5","0.87","13.169","-4.723","91.374","54.248"
"1","7","17","0","0","-6","1.2","0.87","0","-6","0","0"
"1","7","18","0","0","-6","1","0.87","0","-6","0","0"
"1","7","19","0","0","-6","0.5","0.87","0","-6","0","0"
"1","7","20","0","0","-6","0.5","0.87","0","-6","0","0"
"1","7","21","0","0","-7","0.9","0.87","0","-7","0","0"
"1","7","22","0","0","-7","1.2","0.87","0","-7","0","0"
"1","7","23","0","0","-7","1.5","0.87","0","-7","0","0"
"1","8","0","0","0","-7","1.8","0.87","0","-7","0","0"
"1","8","1","0","0","-6","2.3","0.87","0","-6","0","0"
"1","8","2","0","0","-6","3.1","0.87","0","-6","0","0"
"1","8","3","0","0","-5","3.7","0.87","0","-5","0","0"
"1","8","4","0","0","-5","4.1","0.87","0","-5","0","0"
"1","8","5","0","0","-5","4.4","0.87","0","-5","0","0"
